osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2349386825.0,893cf56414bffff,24.3003839,89.6950129,Belkuchi Upazila Health Complex,,"Belkuchi Upazila Health Complex, Sirajganj District, Rajshahi Division, Bangladesh","বেলকুচি উপজিলা স্বাস্থ্য কমপ্লেক্স, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
2571440313.0,893cf5661cbffff,24.3612687,89.6604338,জামতৈল,['Jamtoil'],"Jamaatil, Sirajganj District, Rajshahi Division, Bangladesh","জামতৈল, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['railway_station'],[],Bangladesh,Rajshahi,Sirajganj,Kamarkhanda,Jamtail,f98f6ba0eaf58a4c42479e9fab43abab
3360080652.0,893cf564093ffff,24.3151336,89.6715888,Adachaki Eid Gah Madh,,"Adachaki Eid Gah Madh, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি Eid দ গাহ মধ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360179508.0,893cf56442bffff,24.3161495,89.6683445,Mollabari Jame Mosjid,,"Mollabari Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","মোল্লা বারী জামে মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360180510.0,893cf564427ffff,24.3218649,89.6728848,Adachaki Moddho Para Primary School,,"Adachaki Moddho Para Primary School, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি মোডধো প্যারা প্রাথমিক বিদ্যালয়, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360180511.0,893cf56442fffff,24.3174753,89.6717024,Adachaki Purbo Para Jame Mosjid,,"Adachaki Purbo Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","অ্যাডাচাকি পুর্বো প্যারা জামে মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360180819.0,893cf5645c3ffff,24.3272027,89.6736528,Adachaki Uttor Para Jame Mosjid,,"Adachaki Uttor Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","অ্যাডাচাকি ইউটিআর প্যারা জামে মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360180919.0,893cf564423ffff,24.3184705,89.6678297,Adachaki Dokkhin Para Mosjid,,"Adachaki Dokkhin Para Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি ডকখিন প্যারা মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360184904.0,893cf564423ffff,24.3195827,89.6694713,Adachki Kalibari Mondir,,"Adachki Kalibari Mondir, Sirajganj District, Rajshahi Division, Bangladesh","আদাচি কালিবারি মন্ডির, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360185097.0,893cf564437ffff,24.3223272,89.670691,Adachaki Moddho Para Jame Mosjid,,"Adachaki Moddho Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি মোডধো প্যারা জামে মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360213293.0,893cf564427ffff,24.3193097,89.6721271,Adachaki Community Hospital,,"Adachaki Community Hospital, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি কমিউনিটি হাসপাতাল, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360213393.0,893cf564423ffff,24.3190319,89.6694655,Adachaki Dokkhin Para Primary School,,"Adachaki Dokkhin Para Primary School, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি ডকখিন প্যারা প্রাথমিক বিদ্যালয়, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360213493.0,893cf5645cbffff,24.325624,89.6725222,Adachaki Mussoli Bari Jame Mosjid,,"Adachaki Mussoli Bari Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","আদাচাকি মুসোলি বারী জামে মোসজিড, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360213593.0,893cf564553ffff,24.3233126,89.674582,Children Development School,,"Children Development School, Sirajganj District, Rajshahi Division, Bangladesh","শিশু উন্নয়ন স্কুল, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
3360220493.0,893cf5643b3ffff,24.2996028,89.6966313,Alhaj Siddique High School,,"Alhaj Siddique High School, Sirajganj District, Rajshahi Division, Bangladesh","আলহাজ সিদ্দিক উচ্চ বিদ্যালয়, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
3360220593.0,893cf5643b3ffff,24.300455,89.6971728,Chala Bus Station,,"Chala Bus Station, Sirajganj District, Rajshahi Division, Bangladesh","চালা বাস স্টেশন, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
4875439123.0,893cf50cc63ffff,24.5233525,89.4735025,Dhamainagar Bazar,['ধামাইনগর বাজার'],"Dhamainagar Bazar, Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","ধামাইনগর বাজার, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Dhamainagar,fbf122230845534d9b6bfca8bfb324bd
4875456500.0,893cf50cc0bffff,24.5277885,89.4678969,,,"Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['helipad'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Dhamainagar,fbf122230845534d9b6bfca8bfb324bd
4894836893.0,893cf50c8b3ffff,24.5241755,89.490773,Dumrai Bazar,['ডুমরাই বাজার'],"Dumrai Bazar, Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","ডুমরাই বাজার, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Chandaikona,45bd97eb56a0d9801d9c91657a3d4043
5123971908.0,893cf570dc7ffff,24.3861122,89.4455307,Harin Chara Bazar Bus Stop,,"Harin Chara Bazar Bus Stop, Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","হরিন চর বাজর বাস স্টপ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
5123974562.0,893cf570ca3ffff,24.383742,89.4346899,,,"Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['water_works'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
5123974595.0,893cf570ca3ffff,24.3840807,89.4326932,Dabirgonj Post Office,,"Dabirgonj Post Office, Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","ডাবিরগনজ পোস্ট অফিস, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
5123977384.0,893cf570cabffff,24.3824207,89.4318161,Dabirgonj Bazar Bus Stop,,"Dabirgonj Bazar Bus Stop, Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","ডাবিরগঞ্জ বাজর বাস স্টপ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
