osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2303601194.0,893ce2c14dbffff,24.929788,89.950505,,,"Jamalpur, Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Jamalpur,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['drinking_water'],[],Bangladesh,Mymensingh,Sherpur,SherpurSadar,CharPakshimari,e3ed9ae4bb2ef76c27a914dc868d1682
2303623779.0,893ce2c14dbffff,24.930123,89.951825,,,"Jamalpur, Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Jamalpur,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['place_of_worship'],[],Bangladesh,Mymensingh,Sherpur,SherpurSadar,CharPakshimari,e3ed9ae4bb2ef76c27a914dc868d1682
2303624056.0,893ce2c14dbffff,24.929976,89.952091,,,"Jamalpur, Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Jamalpur,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['community_centre'],[],Bangladesh,Mymensingh,Sherpur,SherpurSadar,CharPakshimari,e3ed9ae4bb2ef76c27a914dc868d1682
2303886830.0,893ce2c1473ffff,24.9259115,89.9675464,Vegitable Market,,"Vegitable Market, Jamalpur, Jamalpur District, Mymensingh Division, Bangladesh","সব্জি বাজার, জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Jamalpur,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Mymensingh,Sherpur,SherpurSadar,CharPakshimari,e3ed9ae4bb2ef76c27a914dc868d1682
2332856909.0,893ce28921bffff,25.0934153,90.188886,Nalitabari Upazila Health Complex,,"Nalitabari Upazila Health Complex, Nalitabari, Sherpur District, Mymensingh Division, Bangladesh","নলিতাবারি উপজিলা স্বাস্থ্য কমপ্লেক্স, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Nalitabari,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Mymensingh,Sherpur,Nalitabari,NalitabariPaurashava,e495557fa142017f84f8ce6cee55fa52
2409444022.0,893ce2c511bffff,24.969117,90.1771162,Markaz Masjid,,"Markaz Masjid, Nakla Upazila, Sherpur District, Mymensingh Division, Bangladesh","মার্কাজ মসজিদ, নকলা উপজেলা, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",নকলা উপজেলা,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Mymensingh,Sherpur,Nakla,Baneshwardi,6da1af6c948926571f850dcdfd3222e5
2409447172.0,893ce2c5103ffff,24.9697216,90.1791874,Nakla Shahriar Alim Madrasha,,"Nakla Shahriar Alim Madrasha, Nakla Upazila, Sherpur District, Mymensingh Division, Bangladesh","নাকলা শাহরিয়ার আলিম মাদ্রাশা, নকলা উপজেলা, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",নকলা উপজেলা,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Mymensingh,Sherpur,Nakla,Gourdwar,f0a66c9fd82cb4e46b68c57c37797f37
2409448161.0,893ce2c513bffff,24.9674093,90.1838134,Chowdhury Sobrunnesa Mohila Degree College,,"Chowdhury Sobrunnesa Mohila Degree College, Nakla Upazila, Sherpur District, Mymensingh Division, Bangladesh","চৌধুরী সোব্রুনেসা মোহিলা ডিগ্রি কলেজ, নকলা উপজেলা, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",নকলা উপজেলা,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Mymensingh,Sherpur,Nakla,Gourdwar,f0a66c9fd82cb4e46b68c57c37797f37
2409448296.0,893ce2c510fffff,24.9672892,90.1832214,Nakla Upazilla Health Complex,,"Nakla Upazilla Health Complex, Nakla Upazila, Sherpur District, Mymensingh Division, Bangladesh","নাকলা উপজিলা স্বাস্থ্য কমপ্লেক্স, নকলা উপজেলা, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",নকলা উপজেলা,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Mymensingh,Sherpur,Nakla,Gourdwar,f0a66c9fd82cb4e46b68c57c37797f37
2797051384.0,893ce28926bffff,25.0841982,90.1958111,Taragonj Pilot High School,,"Taragonj Pilot High School, Nalitabari, Sherpur District, Mymensingh Division, Bangladesh","তারাগনজ পাইলট উচ্চ বিদ্যালয়, শেরপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Nalitabari,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Mymensingh,Sherpur,Nalitabari,NalitabariPaurashava,e495557fa142017f84f8ce6cee55fa52
