osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4712024280.0,893ce235103ffff,25.0490654,90.9923328,Madhyanagar Bazar Post Office,,"Madhyanagar Bazar Post Office, Sunamganj District, Sylhet Division, Bangladesh","মধ্যযানগর বাজার ডাকঘর, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['post_office'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Madhyanagar,dba8eaff94791f8004eadb415132018e
5224266416.0,893ce22198fffff,24.8981652,91.0133229,Dharmapasha Bazar,,"Dharmapasha Bazar, Sunamganj District, Sylhet Division, Bangladesh","ধর্মপাশ বাজর, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['variety_store'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Dharmapasha,7e6dec982d9ffc8da70398cbf229ecd0
5224270880.0,893ce2219bbffff,24.8994151,91.0183999,,,"Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['atm'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Dharmapasha,7e6dec982d9ffc8da70398cbf229ecd0
5224281085.0,893ce2254a7ffff,24.9580796,91.0861811,Ferry Ghat,,"Ferry Ghat, Sunamganj District, Sylhet Division, Bangladesh","ফেরি ঘাট, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Joysree,1961cdd3d0883292198d0fb74a1f7ab6
6124526826.0,893ce234e27ffff,25.0849819,91.0615379,Shorif pur primary school,['logic_undp'],"Shorif pur primary school, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","শরিফ পুর প্রাথমিক বিদ্যালয়, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
6124526827.0,893ce234e37ffff,25.0870661,91.0581851,Durlobpur Government Primary School,['logic_undp'],"Durlobpur Government Primary School, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","দুর্লোবপুর সরকারী প্রাথমিক বিদ্যালয়, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
6124526828.0,893ce234c73ffff,25.0986916,91.0562995,"Mahmud pur government primay school,West para","['logic_undp', 'Sudden flood']","Mahmud pur government primay school West para, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","মাহমুদ পুর সরকার প্রাথমিক বিদ্যালয় পশ্চিম প্যারা, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
6124526829.0,893ce234c73ffff,25.0998478,91.0579652,Mahmud pur government primay school,"['logic_undp', 'Sudden flood']","Mahmud pur government primay school, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","মাহমুদ পুর সরকার প্রাথমিক বিদ্যালয়, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
6124739363.0,893ce234e27ffff,25.084994,91.0611945,Shorif pur Kali Mondir,['logic_undp'],"Shorif pur Kali Mondir, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","শরিফ পুর কালী মন্ডির, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
6124739364.0,893ce234e37ffff,25.0870698,91.0581891,Durlobpur Jame Mosque,['logic_undp'],"Durlobpur Jame Mosque, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","দুর্লোবপুর জামে মসজিদ, সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
